names,ProfileLinks,topics,citations,titles,delta
Sunil Pandey,https://scholar.google.com//citations?hl=en&user=prycNpwAAAAJ,"Microbiology, Molecular biology",158,George Mason University,#N/A
Shuai Wang,https://scholar.google.com//citations?hl=en&user=lOJUEfoAAAAJ,"Wireless Communication, Cross-technology Communication, Embedded System",157,"Ph.D. student, George Mason University",#N/A
Raimi Rufai,https://scholar.google.com//citations?hl=en&user=k5NO-e8AAAAJ,"software engineering, algorithms, computational geometry, data mining",156,SAP Labs and George Mason University,#N/A
Cynthia AC Lukyanenko,https://scholar.google.com//citations?hl=en&user=N5ZaQKsAAAAJ,"first language acquisition, psycholinguistics, morphosyntax",156,George Mason University,#N/A
Martha Paley Francescato,https://scholar.google.com//citations?hl=en&user=aOuyCFUAAAAJ,"Latin American writers, film",156,"Professor Emerita of Spanish, George Mason University",#N/A
Eryn Campbell,https://scholar.google.com//citations?hl=en&user=ADoNACoAAAAJ,"science communication, climate change communication",156,George Mason University,#N/A
Anu Kaur,https://scholar.google.com//citations?hl=en&user=dIbcU3YAAAAJ,"Nutrition, Cancer, Trauma Informed Care, Health Communication, Mind Body",156,George Mason University,#N/A
Boyoung Kim,https://scholar.google.com//citations?hl=en&user=7Cv5uwgAAAAJ,"Moral Psychology, Human-Robot Interaction, Artificial Intelligence",154,George Mason University,#N/A
Ran Ji,https://scholar.google.com//citations?hl=en&user=bm1nLksAAAAJ,"distributionally robust optimization, stochastic optimization, chance-constrained programming, portfolio optimization, relief op",153,George Mason University,#N/A
Sanja Avramovic,https://scholar.google.com//citations?hl=en&user=8rAXsNsAAAAJ,"health informatics, big data, decision support tools",153,"Assistant Professor, Health Informatics, George Mason University",#N/A
Yunyao Li,https://scholar.google.com//citations?hl=en&user=gNw2V94AAAAJ,"Atmospheric Science, Convective Transport, Mesoscale Modeling, Air Quality, Wildfire Emission",153,"Research Scientist, George Mason University",#N/A
Xue Chen,https://scholar.google.com//citations?hl=en&user=pOhKXhYAAAAJ,"Theoretical Computer Science, Algorithms for Big Data, Learning Theory",153,George Mason University,#N/A
Colin Reagle,https://scholar.google.com//citations?hl=en&user=c8jjG7oAAAAJ,,153,George Mason University,#N/A
Ben Manski,https://scholar.google.com//citations?hl=en&user=S2mTs_UAAAAJ,"Social Movements, Next System Studies, Sociology of Constitutions, Democratization, Environmental Sociology",152,"George Mason University, Assistant Professor of Public Sociology, Director of Next System …",#N/A
Samuel Suhas Singapogu,https://scholar.google.com//citations?hl=en&user=AV8L1R8AAAAJ,"Semantic Web, Ontologies, Knowledge discovery, XML based systems, Systems interoperbaliity",152,George Mason University,#N/A
Myeong Lee,https://scholar.google.com//citations?hl=en&user=YgUbn0gAAAAJ,"Community Informatics, Information Access, Human-Computer Interaction, Computational Social Science",151,George Mason University,#N/A
Manjusha Nair,https://scholar.google.com//citations?hl=en&user=J9Ndpx8AAAAJ,"Globalization, Political Sociology, Comparative and Historical Sociology, Development",150,George Mason University,#N/A
Nashema Begum,https://scholar.google.com//citations?hl=en&user=0juFmlkAAAAJ,I/O Psychology,149,"Student, George Mason University",#N/A
Lishan Yang,https://scholar.google.com//citations?hl=en&user=y_n3bHoAAAAJ,"Reliability, GPUs, Heterogenous Systems",149,George Mason University,#N/A
Pratiti Diddi,https://scholar.google.com//citations?hl=en&user=JA1i7nwAAAAJ,,149,George Mason University,#N/A
Rudy Clausen,https://scholar.google.com//citations?hl=en&user=iAw4NXIAAAAJ,"Computational Biology, Artificial Intelligence, Bioinformatics, Machine Learning, Software Development",147,George Mason University,#N/A
Debra Lattanzi Shutika,https://scholar.google.com//citations?hl=en&user=T4GgmBAAAAAJ,"Folklore, Applalachian Studies, Belonging, Sense of Place",147,George Mason University,#N/A
Blake Klocke,https://scholar.google.com//citations?hl=en&user=klQWhOwAAAAJ,Conservation Biology,147,George Mason University,#N/A
Xiaoyi Yuan,https://scholar.google.com//citations?hl=en&user=-q9dCDkAAAAJ,Computational Social Science,147,George Mason University,#N/A
Jessica Hurley,https://scholar.google.com//citations?hl=en&user=z5vuIpwAAAAJ,"Contemporary Literature, Sci-Fi/Speculative Fiction, Environmental Humanities",147,"Assistant Professor of English, George Mason University",#N/A
Samiul Islam,https://scholar.google.com//citations?hl=en&user=MOoctJQAAAAJ,"Data Science, Machine Learning, Image Processing",146,"PhD Student, Computational Sciences and Informatics, George Mason University",#N/A
saba neyshabouri,https://scholar.google.com//citations?hl=en&user=ryA9qj4AAAAJ,"Decision making under uncertainty, Optimization, Healthcare, Aviation",145,"PhD in Systems Engineering and Operations Research, George Mason University",#N/A
Saurabh Srivastava,https://scholar.google.com//citations?hl=en&user=LuCi6M4AAAAJ,"Information Extraction, Question-Answering, Machine Learning, Deep Learning, Natural Language Processing",145,"PhD Student, George Mason University",#N/A
Naveen Naik Sapavath,https://scholar.google.com//citations?hl=en&user=8e-ae7kAAAAJ,"Cyber security, Next Generation wireless networks, Machine Learning, O-RAN",145,Researcher at George Mason University,30
Claire Niehaus,https://scholar.google.com//citations?hl=en&user=GPfpQmUAAAAJ,"parenting, fMRI, child psychology",145,George Mason University,#N/A
Einav Hart,https://scholar.google.com//citations?hl=en&user=NXPXATUAAAAJ,"Negotiation, Trust, Conversation, Decision-making, Organizational behavior",144,"Assistant Professor of Management, George Mason University",#N/A
Carolina Tecuatl,https://scholar.google.com//citations?hl=en&user=CzxWfgoAAAAJ,Neuroscience,144,George Mason University,#N/A
Anton Lukyanenko,https://scholar.google.com//citations?hl=en&user=pGOOAvYAAAAJ,,143,George Mason University,#N/A
Hansoo Ko,https://scholar.google.com//citations?hl=en&user=ejNrxBAAAAAJ,"Health policy, Health services research, Health economics",143,George Mason University,#N/A
Sammie Powers,https://scholar.google.com//citations?hl=en&user=k9EKe7cAAAAJ,"Park and Recreation Management, Outdoor Recreation, Equity, Environmental Justice, Engagement and Stewardship",143,"Assistant Professor, Recreation Management, George Mason University",#N/A
Jodi Duke,https://scholar.google.com//citations?hl=en&user=kBUxVbAAAAAJ,"Autism Spectrum Disorders, Special Education",142,George Mason University,#N/A
Clayton Alex Baker,https://scholar.google.com//citations?hl=en&user=8sY8wz8AAAAJ,,142,George Mason University,#N/A
Mehdi Farrokhrooz,https://scholar.google.com//citations?hl=en&user=JDoY-sMAAAAJ,"Underwater Acoustics, Signal Processing, Artificial Intelligence, Communication",141,George Mason University,#N/A
MJ Esfandiari,https://scholar.google.com//citations?hl=en&user=j69WG8sAAAAJ,"Machine Learning, Optimization of structures, Progressive Collapse of Structures, Structural mechanics, Structural analysis and",141,George Mason University (GMU),#N/A
Nic Badullovich,https://scholar.google.com//citations?hl=en&user=B_fwDisAAAAJ,"social science, science communication, climate change communication, climate change",141,"George Mason University, Postdoctoral Research Fellow",#N/A
Juozas Gaigalas,https://scholar.google.com//citations?hl=en&user=KSOhnQYAAAAJ,"climate science, earth system science, cyberinfrastructure, metadata",141,"PhD Student, George Mason University",#N/A
Susan Dass,https://scholar.google.com//citations?hl=en&user=NY8KxfkAAAAJ,"virtual worlds, instructional design, immersive learning, self-regulation",140,George Mason University,#N/A
Yulia Krylova,https://scholar.google.com//citations?hl=en&user=k7jcO_gAAAAJ,"International development, governance, gender inequality, and entrepreneurship",140,George Mason University,#N/A
Jonathan Vasquez,https://scholar.google.com//citations?hl=en&user=s6_KKiMAAAAJ,"algorithmic fairness, machine learning, data mining, educational data mining",138,"George Mason University, PhD Student",#N/A
Andrea Cobb,https://scholar.google.com//citations?hl=en&user=adGAhHcAAAAJ,"gene regulation, reproductive hormones",137,"Director of Student Research, College of Science, George Mason University",#N/A
Alyssa M. Izquierdo,https://scholar.google.com//citations?hl=en&user=idKdaqcAAAAJ,,136,George Mason University,#N/A
Ravi Doddasomayajula,https://scholar.google.com//citations?hl=en&user=x48r0ZcAAAAJ,"Cardiovascular Engineering, Cerebral Aneurysms, Computational Fluid Dynamics, Biostatistics",135,George Mason University,#N/A
Koren W. Wong-Ervin,https://scholar.google.com//citations?hl=en&user=Jp2rcygAAAAJ,"Antitrust, Intellectual Property",135,"Global Antitrust Institute, Scalia Law School, George Mason University",#N/A
Erik Goepner,https://scholar.google.com//citations?hl=en&user=4tIQr3MAAAAJ,,134,George Mason University,#N/A
Jordan Lofthouse,https://scholar.google.com//citations?hl=en&user=n6TabfwAAAAJ,"Austrian Economics, Public Choice Economics, Economic Sociology, Institutional Economics",134,George Mason University,#N/A
Mariano Remírez,https://scholar.google.com//citations?hl=en&user=cBZ3wkYAAAAJ,Geología - Geoquímica - Sedimentología,134,"Atmospheric, Oceanic and Earth Sciences Department - George Mason University",#N/A
Kevin Lybarger,https://scholar.google.com//citations?hl=en&user=vUJmY_IAAAAJ,"machine learning, natural language processing, information extraction, clinical informatics",134,George Mason University,#N/A
Hui Zheng,https://scholar.google.com//citations?hl=en&user=5DQ7jkwAAAAJ,"Human-Computer Interaction, Accessibility, Ubiquitous Computing, Wearable Computing",133,George Mason University,#N/A
"Habib Karbasian, PhD",https://scholar.google.com//citations?hl=en&user=ib4j0HgAAAAJ,"Artificial Intelligence, Data Mining, Social Network, Machine Learning",132,"Computer Science & Information Technology, George Mason University",#N/A
Lindsay Hughes,https://scholar.google.com//citations?hl=en&user=vL9mspQAAAAJ,"HIV/AIDS, behavioral science, stigma, gender, program quality",132,George Mason University,#N/A
Tahani Almanie,https://scholar.google.com//citations?hl=en&user=NORy8yEAAAAJ,"Data Mining, Social Media Mining, Sentiment Analysis, Edutainment Applications",132,"Department of Computer Science, George Mason University",#N/A
Biao Xie,https://scholar.google.com//citations?hl=en&user=kzcRcMgAAAAJ,"Human-Computer Interaction, Virtual Reality",132,George Mason University,#N/A
Kamyar Mohajerani,https://scholar.google.com//citations?hl=en&user=6CJBIcQAAAAJ,"FPGA and ASIC Hardware Design, Hardware Accelerators, Electronic Design Automation, System-on-Chip, Cryptography",132,George Mason University,#N/A
Pramita Bagchi,https://scholar.google.com//citations?hl=en&user=5PYa_jMAAAAJ,"Statistics, Time Series, Spatio-temporal data",132,George Mason University,#N/A
Ketian Zhang,https://scholar.google.com//citations?hl=en&user=uB24Cv4AAAAJ,Chinese foreign policy,131,George Mason University,#N/A
Fang-Yi Yu,https://scholar.google.com//citations?hl=en&user=LhLBzWEAAAAJ,,130,George Mason University,6
André de Souza de Lima,https://scholar.google.com//citations?hl=en&user=qRtHFRkAAAAJ,"Integrated Coastal Management, Ecosystem services, GIS, Coastal Hazards, Numerical Modeling",130,George Mason University,#N/A
Ding Zhang,https://scholar.google.com//citations?hl=en&user=fVsKQOAAAAAJ,"Wireless networking, Wireless sensing, Mobile computing",130,"Ph.D. student, Computer Science Department, George Mason University",#N/A
Jingyuan Zhang,https://scholar.google.com//citations?hl=en&user=vPQN1BMAAAAJ,"Distributed Systems, Cloud Computing",130,George Mason University,#N/A
Rachelle Holmes Perkins,https://scholar.google.com//citations?hl=en&user=yB7np-oAAAAJ,Tax,130,George Mason University Scalia Law School,#N/A
Sharmin Sultana,https://scholar.google.com//citations?hl=en&user=oXtwiM0AAAAJ,"Image Processing, Computer Vision, Artificial Intelligence, Medical Image Analysis",128,"Assistant Professor, George Mason University",#N/A
Ningshi Yao,https://scholar.google.com//citations?hl=en&user=uwTdsxEAAAAJ,"Scheduling and Control, Cyber Physical System, Human Robot Interaction, Bio-inspired Robotics",126,"Assistant Professor, George Mason University",#N/A
Siona Listokin,https://scholar.google.com//citations?hl=en&user=oy0r7o4AAAAJ,,125,George Mason University School of Public Policy,#N/A
Seth Baxter Hunter,https://scholar.google.com//citations?hl=en&user=q3SNSBsAAAAJ,"teacher evaluation, teacher leadership, policies and practices of educator evaluation",125,"Assistant Professor of Education Leadership, George Mason University",#N/A
Mohammad Shams,https://scholar.google.com//citations?hl=en&user=uONJwHUAAAAJ,"Data and Signal Processing, Machine Learning, EEG-fMRI, Neural Networks",124,George Mason University,#N/A
Hung-Ling (Stella) Liu,https://scholar.google.com//citations?hl=en&user=8H1rTD4AAAAJ,"Nature-based recreation and tourism, human-dimension of natural resource …, leisure behavior",123,George Mason University,#N/A
Bobby Azarian,https://scholar.google.com//citations?hl=en&user=sRn2Hj0AAAAJ,"complexity, cognition, consciousness, cosmic evolution",123,George Mason University,#N/A
Jessica Marie Otis,https://scholar.google.com//citations?hl=en&user=p-p_uNMAAAAJ,"History, Digital Humanities, History of Science, Mathematics",122,"Assistant Professor of History, George Mason University",#N/A
MIN-GYO JEONG,https://scholar.google.com//citations?hl=en&user=4bFJnoAAAAAJ,"Wireless Communication, Antenna Design",122,George Mason University,#N/A
Shani E Ross,https://scholar.google.com//citations?hl=en&user=BCsUkXMAAAAJ,"neural engineering, neuroprosthesis, functional electrical stimulation, deep brain stimulation",120,"Associate Chair and Assistant Professor, George Mason University",#N/A
Michael Goodier,https://scholar.google.com//citations?hl=en&user=HZPOX2UAAAAJ,"Policing, Disorder and Crime, Place-Based Criminology, Evidence-Based Crime Policy",120,"Center For Evidence-Based Crime Policy, George Mason University",#N/A
Ben Seiyon Lee,https://scholar.google.com//citations?hl=en&user=2joBsfsAAAAJ,"Spatial Statistics, Spatio-temporal Statistics, Computer Model Calibration, Sequential Monte Carlo, Bayesian Statistics",120,George Mason University,#N/A
